date,year,fighter_1,fighter_2,bet_on,model_prob,market_prob,edge,stake,odds,won,pnl,bankroll
2011-03-19,2011,Mauricio Rua,Jon Jones,Jon Jones,0.8027805442187205,0.6681590729523308,0.13462147126638968,30.0,1.4651162790697674,True,13.953488372093021,1013.953488372093
2011-07-02,2011,Carlos Condit,Dong Hyun Kim,Dong Hyun Kim,0.6650275481259718,0.513948077676165,0.15107947044980674,30.42,1.900900900900901,False,-30.42,983.5334883720931
2011-08-14,2011,Ed Herman,Kyle Noke,Kyle Noke,0.7153711876037396,0.5581289044644218,0.15724228313931787,29.51,1.7575757575757576,False,-29.51,954.0234883720931
2012-01-14,2012,Gabriel Gonzaga,Ednaldo Oliveira,Gabriel Gonzaga,0.7058045157259836,0.5729537366548043,0.13285077907117926,28.62,1.7142857142857144,True,20.442857142857147,974.4663455149503
2012-05-15,2012,Amir Sadollah,Jorge Lopez,Amir Sadollah,0.6325417515020503,0.5,0.13254175150205028,29.23,1.9523809523809523,True,27.83809523809524,1002.3044407530455
2012-06-08,2012,Demetrious Johnson,Ian McCall,Demetrious Johnson,0.6514882479663705,0.5116279069767442,0.1398603409896263,30.07,1.9090909090909087,True,27.336363636363625,1029.6408043894091
2012-07-11,2012,Damacio Page,Alex Caceres,Alex Caceres,0.6810230042412424,0.5338983050847458,0.14712469915649662,30.89,1.8333333333333333,True,25.741666666666664,1055.3824710560757
2012-07-21,2012,Cheick Kongo,Shawn Jordan,Cheick Kongo,0.7129659264678588,0.5443037974683544,0.1686621289995044,31.66,1.8,True,25.328000000000003,1080.7104710560757
2012-11-17,2012,Cyrille Diabate,Chad Griggs,Cyrille Diabate,0.6990030855866578,0.5443037974683544,0.15469928811830336,32.42,1.8,True,25.936000000000003,1106.6464710560756
2013-04-20,2013,Francis Carmont,Lorenz Larkin,Francis Carmont,0.666019448829459,0.5116279069767442,0.15439154185271475,33.2,1.9090909090909087,True,30.181818181818173,1136.8282892378938
2013-05-18,2013,Vitor Belfort,Luke Rockhold,Vitor Belfort,0.6403411445843084,0.5,0.14034114458430835,34.1,1.9523809523809523,True,32.476190476190474,1169.3044797140842
2013-11-30,2013,Rani Yahya,Tom Niinimaki,Rani Yahya,0.6498688869933518,0.5,0.14986888699335177,35.08,1.9523809523809523,False,-35.08,1134.2244797140843
2014-10-04,2014,Tor Troeng,Krzysztof Jotko,Krzysztof Jotko,0.7067577539164704,0.5729537366548043,0.13380401726166613,34.03,1.7142857142857144,True,24.307142857142864,1158.5316225712272
2015-01-03,2015,Jon Jones,Daniel Cormier,Jon Jones,0.772291150110375,0.6455622450961351,0.12672890501423983,34.76,1.5208333333333337,True,18.10416666666668,1176.635789237894
2015-02-14,2015,Michel Prazeres,Kevin Lee,Kevin Lee,0.7191095653958148,0.598267034265459,0.12084253113035581,35.3,1.6451612903225803,True,22.774193548387082,1199.409982786281
2015-05-16,2015,Hyun Gyu Lim,Neil Magny,Neil Magny,0.658321622298521,0.5324675324675325,0.12585408983098845,35.98,1.8,True,28.784,1228.1939827862811
2015-06-13,2015,Augusto Montano,Cathal Pendred,Cathal Pendred,0.6324128869967746,0.5,0.13241288699677456,36.85,1.9090909090909087,True,33.499999999999986,1261.6939827862811
2015-12-10,2015,Rose Namajunas,Paige VanZant,Paige VanZant,0.6967225907650565,0.5620437956204379,0.13467879514461856,37.85,1.7142857142857144,False,-37.85,1223.8439827862812
2016-01-02,2016,Joe Soto,Michinori Tanaka,Michinori Tanaka,0.7069810786229864,0.5620437956204379,0.1449372830025485,36.72,1.7142857142857144,True,26.22857142857143,1250.0725542148527
2016-11-19,2016,Pedro Munhoz,Justin Scoggins,Justin Scoggins,0.7156906134834258,0.5882115462252725,0.12747906725815328,37.5,1.6451612903225803,False,-37.5,1212.5725542148527
2016-12-17,2016,Cole Miller,Mizuto Hirota,Cole Miller,0.6541005229134544,0.5108342361863489,0.1432662867271055,36.38,1.869565217391304,False,-36.38,1176.1925542148526
2017-02-19,2017,Derrick Lewis,Travis Browne,Derrick Lewis,0.6179144859937472,0.4891657638136511,0.1287487221800961,35.29,1.9523809523809523,True,33.60952380952381,1209.8020780243764
2017-04-22,2017,Jessica Penne,Danielle Taylor,Jessica Penne,0.6249841005051506,0.5,0.12498410050515063,36.29,1.9090909090909087,False,-36.29,1173.5120780243765
2017-07-07,2017,Brad Tavares,Elias Theodorou,Elias Theodorou,0.6456475283344079,0.4891657638136511,0.15648176452075674,35.21,1.9523809523809523,False,-35.21,1138.3020780243764
2017-10-21,2017,Artem Lobov,Andre Fili,Andre Fili,0.7597607255942387,0.6115107913669063,0.14824993422733235,34.15,1.5882352941176472,True,20.088235294117652,1158.390313318494
2018-01-27,2018,Vinc Pichel,Joaquim Silva,Joaquim Silva,0.6744133324205441,0.5427435387673957,0.13166979365314846,34.75,1.7692307692307692,False,-34.75,1123.640313318494
2018-04-07,2018,Rose Namajunas,Joanna Jedrzejczyk,Joanna Jedrzejczyk,0.632161158219936,0.5,0.13216115821993601,33.71,1.9090909090909087,False,-33.71,1089.930313318494
2018-07-28,2018,Alexander Hernandez,Olivier Aubin-Mercier,Olivier Aubin-Mercier,0.6660203429741646,0.5,0.16602034297416457,32.7,1.9090909090909087,False,-32.7,1057.230313318494
2018-09-22,2018,Mayra Bueno Silva,Gillian Robertson,Gillian Robertson,0.695688137961413,0.5620437956204379,0.1336443423409751,31.72,1.7142857142857144,False,-31.72,1025.510313318494
2019-02-23,2019,Stefan Struve,Marcos Rogerio de Lima,Stefan Struve,0.6727151807107147,0.5108342361863489,0.16188094452436574,30.77,1.869565217391304,True,26.756521739130424,1052.2668350576243
2019-04-13,2019,Kelvin Gastelum,Israel Adesanya,Israel Adesanya,0.7456638298689524,0.6115107913669063,0.13415303850204607,31.57,1.5882352941176472,True,18.57058823529412,1070.8374232929184
2019-04-27,2019,Jim Miller,Jason Gonzalez,Jim Miller,0.6729354256268495,0.5230171935662784,0.1499182320605711,32.13,1.869565217391304,True,27.939130434782598,1098.776553727701
2019-09-21,2019,Vinicius Moreira,Paul Craig,Paul Craig,0.6834398729271748,0.5217391304347827,0.16170074249239208,32.96,1.8333333333333333,True,27.466666666666665,1126.2432203943677
2019-10-05,2019,Robert Whittaker,Israel Adesanya,Israel Adesanya,0.6878285984810086,0.5427435387673957,0.14508505971361296,33.79,1.7692307692307692,True,25.99230769230769,1152.2355280866755
2020-01-18,2020,Sabina Mazo,JJ Aldrich,JJ Aldrich,0.6250476001160206,0.5,0.12504760011602056,34.57,1.9523809523809523,False,-34.57,1117.6655280866755
2020-02-29,2020,Sean Brady,Ismail Naurdiev,Ismail Naurdiev,0.6645948411478287,0.5324675324675325,0.1321273086802962,33.53,1.8,False,-33.53,1084.1355280866755
2020-05-13,2020,Ben Rothwell,Ovince Saint Preux,Ovince Saint Preux,0.6865945370753569,0.5467333541731791,0.13986118290217775,32.52,1.7575757575757576,False,-32.52,1051.6155280866756
2020-06-27,2020,Jordan Griffin,Youssef Zalal,Youssef Zalal,0.6294028118879251,0.5086640097036909,0.12073880218423427,31.55,1.8771929824561404,True,27.67543859649123,1079.2909666831667
2020-06-27,2020,Philipe Lins,Tanner Boser,Tanner Boser,0.6505063162650998,0.5,0.1505063162650998,32.38,1.8928571428571428,True,28.910714285714285,1108.201680968881
2020-08-29,2020,Alessio Di Chirico,Zak Cummings,Zak Cummings,0.6477120286205194,0.49469799796403124,0.1530140306564881,33.25,1.9174311926605505,True,30.504587155963304,1138.7062681248442
2020-10-10,2020,Youssef Zalal,Ilia Topuria,Youssef Zalal,0.7202274531550952,0.5871415064607626,0.1330859466943326,34.16,1.617283950617284,False,-34.16,1104.5462681248441
2020-10-24,2020,Alex Oliveira,Shavkat Rakhmonov,Alex Oliveira,0.6256456616936636,0.5,0.12564566169366365,33.14,1.8928571428571428,False,-33.14,1071.406268124844
2020-12-12,2020,Kevin Holland,Jacare Souza,Kevin Holland,0.7187034928479115,0.552594002855783,0.1661094899921285,32.14,1.7407407407407407,True,23.807407407407407,1095.2136755322515
2021-05-01,2021,Dominick Reyes,Jiri Prochazka,Dominick Reyes,0.6624916950710004,0.5217391304347827,0.14075256463621766,32.86,1.8333333333333333,False,-32.86,1062.3536755322516
2021-10-30,2021,Shamil Gamzatov,Michal Oleksiejczuk,Michal Oleksiejczuk,0.6717351505855804,0.5108342361863489,0.1609009143992315,31.87,1.869565217391304,True,27.713043478260857,1090.0667190105125
2022-05-14,2022,Frank Camacho,Manuel Torres,Manuel Torres,0.6803949927839904,0.552594002855783,0.12780098992820743,32.7,1.7407407407407407,True,24.22222222222222,1114.2889412327347
2022-06-04,2022,Johnny Munoz,Tony Gravely,Tony Gravely,0.6678458201970833,0.5324675324675325,0.13537828772955074,33.43,1.8,True,26.744,1141.0329412327346
2022-06-04,2022,Felice Herrig,Karolina Kowalkiewicz,Karolina Kowalkiewicz,0.630385547242162,0.4891657638136511,0.14121978342851088,34.23,1.9523809523809523,True,32.599999999999994,1173.6329412327345
2022-06-25,2022,Chris Curtis,Rodolfo Vieira,Rodolfo Vieira,0.6152880370674831,0.4891657638136511,0.12612227325383202,35.21,1.9523809523809523,False,-35.21,1138.4229412327345
2022-11-19,2022,Andre Fialho,Muslim Salikhov,Muslim Salikhov,0.6375097273056733,0.5108342361863489,0.1266754911193244,34.15,1.869565217391304,True,29.69565217391303,1168.1185934066475
2023-02-11,2023,Josh Culibao,Melsik Baghdasaryan,Melsik Baghdasaryan,0.640300308705863,0.5,0.14030030870586296,35.04,1.9090909090909087,False,-35.04,1133.0785934066475
2023-02-25,2023,Jordan Leavitt,Victor Martinez,Jordan Leavitt,0.6577367645177978,0.4891657638136511,0.1685710007041467,33.99,1.9523809523809523,True,32.371428571428574,1165.4500219780762
2023-05-06,2023,Aljamain Sterling,Henry Cejudo,Aljamain Sterling,0.6783900968838382,0.5217391304347827,0.15665096644905552,34.96,1.8333333333333333,True,29.133333333333333,1194.5833553114096
2023-08-19,2023,Kurt Holobaugh,Austin Hubbard,Austin Hubbard,0.7267026124200178,0.6037569709421778,0.12294564147783993,35.84,1.5882352941176472,False,-35.84,1158.7433553114097
2023-11-11,2023,Diego Lopes,Pat Sabatini,Pat Sabatini,0.6752229350679013,0.5427435387673957,0.13247939630050565,34.76,1.7692307692307692,False,-34.76,1123.9833553114097
2023-11-11,2023,Jiri Prochazka,Alex Pereira,Alex Pereira,0.6521072240426379,0.5203045685279188,0.13180265551471904,33.72,1.8,True,26.976,1150.9593553114096
2024-01-20,2024,Sean Strickland,Dricus Du Plessis,Dricus Du Plessis,0.6348300981946455,0.5043297540699689,0.1305003441246766,34.53,1.8928571428571428,True,30.830357142857142,1181.7897124542667
2024-02-24,2024,Jesus Aguilar,Mateus Mendonca,Mateus Mendonca,0.6912994903132267,0.551441114716549,0.1398583755966777,35.45,1.7407407407407407,False,-35.45,1146.3397124542666
2024-03-16,2024,Tai Tuivasa,Marcin Tybura,Marcin Tybura,0.6390360230154606,0.4826358742837299,0.1564001487317307,34.39,1.9803921568627447,True,33.71568627450979,1180.0553987287765
2024-03-23,2024,Kurt Holobaugh,Trey Ogden,Trey Ogden,0.6789629993388524,0.5324675324675325,0.14649546687131987,35.4,1.8,True,28.32,1208.3753987287764
2024-03-30,2024,Dennis Buzukja,Connor Matthews,Connor Matthews,0.6108022551061791,0.4826358742837299,0.12816638082244924,36.25,1.9803921568627447,False,-36.25,1172.1253987287764
2024-09-14,2024,Irene Aldana,Norma Dumont,Norma Dumont,0.6751406383958882,0.5427435387673957,0.13239709962849255,35.16,1.7692307692307692,True,27.046153846153842,1199.1715525749303
2024-09-28,2024,Ion Cutelaba,Ivan Erslan,Ion Cutelaba,0.609250521852841,0.4826358742837299,0.12661464756911112,35.98,1.9803921568627447,True,35.27450980392155,1234.4460623788518
2024-10-05,2024,Austin Hubbard,Alexander Hernandez,Alexander Hernandez,0.6380383556288218,0.4956702459300312,0.14236810969879066,37.03,1.925925925925926,True,34.287037037037045,1268.7330994158888
2024-10-05,2024,Jose Aldo,Mario Bautista,Mario Bautista,0.6890660884034909,0.5260865852617197,0.16297950314177123,38.06,1.819672131147541,True,31.19672131147541,1299.9298207273641
2024-12-07,2024,Chris Weidman,Eryk Anders,Eryk Anders,0.6163635658281339,0.4956702459300312,0.12069331989810272,39.0,1.925925925925926,True,36.111111111111114,1336.0409318384752
